gene	target	gene_short_name	cdsName	padj	log2FoldChange	evalue	bits
TRINITY_DN613_c4_g1	NV2.17727	mb211-like-1	mab21-like 2	1.4943225709864015e-199	-4.63900638870657	1.26e-31	132
TRINITY_DN218_c0_g1	NV2.4372	nbn-like	-	2.6958308542980315e-162	-3.6023962116698316	4.08e-64	228
TRINITY_DN2771_c0_g1	NV2.16248	abcb1-like	-	7.597491828682563e-159	-3.5242830820052196	6.62e-256	809
TRINITY_DN3373_c0_g1	NA	NA	NA	4.4372625875636183e-150	-5.132178000622083	NA	NA
TRINITY_DN13637_c0_g2	NV2.4541	nedd8-like	-	2.4191881303249167e-144	-5.318973006155248	2.32e-11	61
TRINITY_DN1643_c0_g1	NV2.18635	calub-like	-	1.7726566900313862e-140	-3.403384381944353	1.97e-96	319
TRINITY_DN998_c0_g2	NV2.21427	vglu2-like-1	-	7.671404840624887e-139	-5.427330781140496	1.1499999999999998e-160	515
TRINITY_DN998_c0_g1	NA	NA	NA	4.8435064116235784e-135	-4.383894202811747	NA	NA
TRINITY_DN3474_c0_g1	NV2.23891	creb-like-1	cAMP response element-binding protein-like protein	1.5930035999352194e-131	-3.1808760326772334	1.48e-36	149
TRINITY_DN5642_c0_g1	NV2.11814	cra1b-like-1	-	2.2321116413925113e-129	4.809886100338918	4.67e-12	65
TRINITY_DN117_c0_g1	NA	NA	NA	1.0711273570677201e-111	5.255515322523377	NA	NA
TRINITY_DN1190_c0_g1	NA	NA	NA	1.0711273570677201e-111	-4.157332467938096	NA	NA
TRINITY_DN4114_c0_g1	NA	NA	NA	4.509913990327111e-110	5.5371828312803375	NA	NA
TRINITY_DN92_c0_g1	NV2.25620	pges2-like	-	2.2957544154165025e-109	-3.867720588738106	5.88e-97	324
TRINITY_DN101_c0_g1	NV2.12620	fbn2-like	-	2.644602431170566e-106	-3.6968836833687386	2.04e-20	101
TRINITY_DN3749_c1_g2	NV2.5381	exoc2-like	-	7.111139183848663e-106	3.2711076406733826	1.6599999999999997e-174	582
TRINITY_DN10985_c0_g1	NV2.12718	rtbs-like-31	-	1.6663384911905512e-105	4.9954626055787985	5.59e-6	44
TRINITY_DN1333_c2_g1	NV2.198	ech1-like	-	1.748987888021002e-105	-2.7173217234060387	4.08e-103	338
TRINITY_DN1346_c0_g1	NA	NA	NA	4.872088210801346e-103	-4.2541693660312	NA	NA
TRINITY_DN1848_c0_g1	NA	NA	NA	8.257889059193823e-103	-2.9719441930342683	NA	NA
TRINITY_DN3914_c0_g1	NV2.3586	sqstm-like	-	3.771032932762663e-102	-3.1694372726930156	4.12e-17	88
TRINITY_DN4826_c3_g1	NV2.4124	rab32-like-2	-	6.041063734324519e-101	-3.5964619009423595	2.45e-20	93
TRINITY_DN1171_c0_g1	NA	NA	NA	2.1135794197975842e-100	-4.042212292148626	NA	NA
TRINITY_DN1284_c0_g1	NV2.18980	fucl-like-7	-	9.135404717937464e-97	5.179475296422981	1.7599999999999999e-43	179
TRINITY_DN1117_c0_g1	NV2.10343	nv2.10343	-	6.551435197576933e-95	4.301247734961046	2.0299999999999997e-31	138
TRINITY_DN1899_c0_g1	NV2.10437	sc31a-like-1	-	6.708105463482905e-95	-2.8062531790204606	0	1128
TRINITY_DN1308_c0_g2	NA	NA	NA	7.142657855941941e-91	-4.837107731035336	NA	NA
TRINITY_DN346_c0_g1	NV2.3302	mdr1a-like	-	2.074326195203514e-90	-2.458556172930355	0	1330
TRINITY_DN4333_c1_g2	NV2.20281	dmrt-d	-	5.9489509392171635e-87	-3.6648346795799718	5.61e-9	62
TRINITY_DN3779_c0_g1	NA	NA	NA	7.467880587697399e-87	3.964420655655721	NA	NA
TRINITY_DN1355_c0_g2	NV2.8024	myhc-st	myhc-st	1.634678024651684e-86	3.8485918158215777	6.84e-131	442
TRINITY_DN3304_c0_g1	NV2.16658	pkdre-like-2	-	1.9582824393777492e-86	3.783020361832629	0	1523
TRINITY_DN3985_c0_g1	NV2.17752	zic4-like	-	6.233018996863349e-86	5.355589799859405	3.91e-99	323
TRINITY_DN2520_c0_g3	NA	NA	NA	9.005654700243004e-85	-5.122160094071319	NA	NA
TRINITY_DN3931_c5_g1	NV2.15922	nos1-like	-	9.464915834317787e-85	3.2875499993969948	0	1319
TRINITY_DN428_c0_g1	NV2.23310	larp6-like	-	1.7886728612282178e-84	-3.6836348387591906	2.14e-54	204
TRINITY_DN2495_c0_g1	NV2.10292	rtxe-like-21	-	4.192336836050244e-82	-4.009954537570451	4.2799999999999994e-31	121
TRINITY_DN1628_c0_g1	NV2.1729	sec13-like	-	5.100949648601891e-82	-2.525570775778876	2.7499999999999996e-151	478
TRINITY_DN74_c0_g2	NV2.21219	cp341-like-1	-	1.1166156144007519e-79	-2.578678882928617	6.92e-108	361
TRINITY_DN15090_c1_g1	NA	NA	NA	3.783551250352905e-77	-4.82602449740773	NA	NA
TRINITY_DN5743_c0_g1	NV2.21725	cp3ab-like	-	1.3345025831099061e-76	-4.57139079046011	2.1599999999999998e-24	102
TRINITY_DN1233_c0_g1	NV2.4066	cadn-like-2	-	1.6325737791488653e-75	3.0967684902738086	8.21e-60	218
TRINITY_DN3141_c0_g1	NA	NA	NA	6.803414652440536e-75	6.046028769435079	NA	NA
TRINITY_DN1814_c0_g1	NA	NA	NA	3.5174924795032217e-74	5.170637430784642	NA	NA
TRINITY_DN1587_c0_g1	NV2.15721	pol5-like-4	-	4.301127361345505e-74	-2.88538192701335	3.59e-154	527
TRINITY_DN80471_c0_g1	NA	NA	NA	2.465823066561164e-73	-4.166620878370207	NA	NA
TRINITY_DN2024_c0_g1	NV2.6295	nv2.6295	-	2.131948954401205e-70	3.9720472166434653	3.01e-5	49
TRINITY_DN2187_c0_g1	NA	NA	NA	1.2662331787798957e-69	6.394887009158074	NA	NA
TRINITY_DN1716_c0_g1	NV2.3452	nv2.3452	-	2.786927948374487e-69	-2.734576063961895	1.87e-10	61
TRINITY_DN4409_c0_g1	NV2.6330	irf1-2c	-	3.5464888445735113e-69	-4.1016859580925775	5.2499999999999996e-31	130
TRINITY_DN4541_c0_g1	NV2.25184	ats16-like-1	-	5.953081052472553e-69	4.740263682882253	0	1145
TRINITY_DN5510_c0_g1	NV2.18331	ki67-like	-	2.5167245125572514e-68	4.866737692331456	1.66e-93	344
